start,end,gene,count,gene_number,lengthkb,rpk,scale_factor,tpm,accession,class,pysinthe,b_rep,time,strain
6475,7554,"ID=cds9;Parent=rna4;Dbxref=GOA:P00969,InterPro:IPR012310,InterPro:IPR012340,InterPro:IPR016027,InterPro:IPR016059,InterPro:IPR016306,PDB:1A0I,UniProtKB/Swiss-Prot:P00969,NCBI_GP:CAA24393.1;Name=CAA24393.1;Note=gene 1.3%2C DNA ligase;gbkey=CDS;product=CAA24393.1;protein_id=CAA24393.1;transl_table=11",23501,1.3,1.079,21780.35217794254,5.595708084462758,3892.331738751462,NP_041963.1,2,gene 1.3,1,9,wildtype
7608,7763,"ID=cds10;Dbxref=UniProtKB/Swiss-Prot:P03791,NCBI_GP:CAA24394.1;Name=CAA24394.1;Note=gene 1.4;gbkey=CDS;product=CAA24394.1;protein_id=CAA24394.1;transl_table=11",1234,1.4,0.155,7961.290322580645,5.595708084462758,1422.749400506836,NA,2,gene 1.4,1,9,wildtype
7791,7880,"ID=cds11;Dbxref=UniProtKB/Swiss-Prot:P03792,NCBI_GP:CAA24395.1;Name=CAA24395.1;Note=gene 1.5;gbkey=CDS;product=CAA24395.1;protein_id=CAA24395.1;transl_table=11",2879,1.5,0.089,32348.314606741573,5.595708084462758,5780.915322684729,NP_041965.1,2,gene 1.5,1,9,wildtype
7906,8166,"ID=cds12;Dbxref=InterPro:IPR018015,UniProtKB/Swiss-Prot:P03793,NCBI_GP:CAA24396.1;Name=CAA24396.1;Note=gene 1.6;gbkey=CDS;product=CAA24396.1;protein_id=CAA24396.1;transl_table=11",6280,1.6,0.26,24153.846153846152,5.595708084462758,4316.49503320457,NP_041966.1,2,gene 1.6,1,9,wildtype
8166,8756,"ID=cds13;Dbxref=InterPro:IPR021739,UniProtKB/Swiss-Prot:P03781,NCBI_GP:CAA24397.1;Name=CAA24397.1;Note=gene 1.7;gbkey=CDS;product=CAA24397.1;protein_id=CAA24397.1;transl_table=11",13918,1.7,0.59,23589.830508474577,5.595708084462758,4215.700703540083,NP_041967.1,2,gene 1.7,1,9,wildtype
8749,8895,"ID=cds14;Dbxref=UniProtKB/Swiss-Prot:P03794,NCBI_GP:CAA24398.1;Name=CAA24398.1;Note=gene 1.8;gbkey=CDS;product=CAA24398.1;protein_id=CAA24398.1;transl_table=11",4418,1.8,0.146,30260.273972602743,5.595708084462758,5407.764936241849,NP_041968.1,2,gene 1.8,1,9,wildtype
8898,9092,"ID=cds15;Dbxref=InterPro:IPR016412,PDB:2WNM,UniProtKB/Swiss-Prot:P03704,NCBI_GP:CAA24399.1;Name=CAA24399.1;Note=gene 2%2C inhibits E. coli RNA polymerase;gbkey=CDS;product=CAA24399.1;protein_id=CAA24399.1;transl_table=11",5569,2,0.194,28706.185567010307,5.595708084462758,5130.036294551698,NP_041969.1,2,gp-2,1,9,wildtype
9158,9856,"ID=cds16;Dbxref=GOA:P03696,InterPro:IPR012340,InterPro:IPR016027,InterPro:IPR016411,PDB:1JE5,UniProtKB/Swiss-Prot:P03696,NCBI_GP:CAA24400.1;Name=CAA24400.1;Note=gene 2.5%2C single-stranded DNA-binding protein;gbkey=CDS;product=CAA24400.1;protein_id=CAA24400.1;transl_table=11",21862,2.5,0.698,31320.91690544413,5.595708084462758,5597.310730416924,NP_041970.1,2,gene 2.5,1,9,wildtype
9857,10276,"ID=cds17;Dbxref=UniProtKB/Swiss-Prot:P03795,NCBI_GP:CAA24401.1;Name=CAA24401.1;Note=gene 2.8;gbkey=CDS;product=CAA24401.1;protein_id=CAA24401.1;transl_table=11",16677,2.8,0.419,39801.909307875896,5.595708084462758,7112.935254501802,NP_041971.1,2,gene 2.8,1,9,wildtype
10257,10706,"ID=cds18;Dbxref=GOA:P00641,InterPro:IPR008029,InterPro:IPR011335,InterPro:IPR011578,PDB:1FZR,PDB:1M0D,PDB:1M0I,PDB:2PFJ,PDB:3CAE,UniProtKB/Swiss-Prot:P00641,NCBI_GP:CAA24402.1;Name=CAA24402.1;Note=gene 3%2C endonuclease;gbkey=CDS;product=CAA24402.1;protein_id=CAA24402.1;transl_table=11",23388,3,0.449,52089.08685968819,5.595708084462758,9308.757010452458,NP_041972.1,2,gene 3,1,9,wildtype
10706,11161,"ID=cds19;Dbxref=GOA:P00806,InterPro:IPR002502,InterPro:IPR015510,PDB:1ARO,PDB:1LBA,UniProtKB/Swiss-Prot:P00806,NCBI_GP:CAA24403.1;Name=CAA24403.1;Note=gene 3.5%2C lysozyme/inhibits T7 RNA polymerase [7];gbkey=CDS;product=CAA24403.1;protein_id=CAA24403.1;transl_table=11",26636,3.5,0.455,58540.65934065934,5.595708084462758,10461.70716145923,NP_041973.1,2,lysozyme-3.5,1,9,wildtype
11225,11590,"ID=cds20;Dbxref=GOA:P03797,InterPro:IPR002711,InterPro:IPR003615,UniProtKB/Swiss-Prot:P03797,NCBI_GP:CAA24404.1;Name=CAA24404.1;Note=gene 3.8;gbkey=CDS;product=CAA24404.1;protein_id=CAA24404.1;transl_table=11",1366,3.8,0.365,3742.4657534246576,5.595708084462758,668.8100410055558,NP_041974.1,2,gene 3.8,1,9,wildtype
11565,13265,"ID=cds21;Dbxref=GOA:P03692,InterPro:IPR006171,InterPro:IPR007694,InterPro:IPR013237,PDB:1CR0,PDB:1CR1,PDB:1CR2,PDB:1CR4,PDB:1E0J,PDB:1E0K,PDB:1NUI,PDB:1Q57,UniProtKB/Swiss-Prot:P03692,NCBI_GP:CAA24405.1;Name=CAA24405.1;Note=gene 4A%2C primase/helicase [14%2C15];gbkey=CDS;product=CAA24405.1;protein_id=CAA24405.1;transl_table=11",7183,4A,1.7,4225.294117647059,5.595708084462758,755.0955221161662,NP_041975.1,2,gene 4A,1,9,wildtype
11635,11757,"ID=cds22;Dbxref=UniProtKB/Swiss-Prot:P03782,NCBI_GP:CAA24406.1;Name=CAA24406.1;Note=gene 4.1;gbkey=CDS;product=CAA24406.1;protein_id=CAA24406.1;transl_table=11",760,4.1,0.122,6229.508196721312,5.595708084462758,1113.2653996048125,NA,NA,NA,1,9,wildtype
11754,13265,"ID=cds23;Dbxref=GOA:P03692,InterPro:IPR006171,InterPro:IPR007694,InterPro:IPR013237,PDB:1CR0,PDB:1CR1,PDB:1CR2,PDB:1CR4,PDB:1E0J,PDB:1E0K,PDB:1NUI,PDB:1Q57,UniProtKB/Swiss-Prot:P03692,NCBI_GP:CAA24407.1;Name=CAA24407.1;Note=gene 4B/helicase [14%2C15];gbkey=CDS;product=CAA24407.1;protein_id=CAA24407.1;transl_table=11",6597,4B,1.511,4365.9827928524155,5.595708084462758,780.2377691887035,NA,NA,NA,1,9,wildtype
12988,13326,"ID=cds24;Dbxref=UniProtKB/Swiss-Prot:P03783,NCBI_GP:CAA24408.1;Name=CAA24408.1;Note=gene 4.2;gbkey=CDS;product=CAA24408.1;protein_id=CAA24408.1;transl_table=11",2164,4.2,0.338,6402.366863905325,5.595708084462758,1144.156694249717,NP_041978.1,2,gene 4.2,1,9,wildtype
13352,13564,"ID=cds25;Dbxref=UniProtKB/Swiss-Prot:P03784,NCBI_GP:CAA24409.1;Name=CAA24409.1;Note=gene 4.3;gbkey=CDS;product=CAA24409.1;protein_id=CAA24409.1;transl_table=11",2687,4.3,0.212,12674.528301886792,5.595708084462758,2265.044586060402,NP_041979.1,2,gene 4.3,1,9,wildtype
13584,13853,"ID=cds26;Dbxref=UniProtKB/Swiss-Prot:P03785,NCBI_GP:CAA24410.1;Name=CAA24410.1;Note=gene 4.5;gbkey=CDS;product=CAA24410.1;protein_id=CAA24410.1;transl_table=11",1286,4.5,0.269,4780.6691449814125,5.595708084462758,854.3457008158786,NP_041980.1,2,gene 4.5,1,9,wildtype
13927,14334,"ID=cds27;Dbxref=UniProtKB/Swiss-Prot:P03786,NCBI_GP:CAA24411.1;Name=CAA24411.1;Note=gene 4.7;gbkey=CDS;product=CAA24411.1;protein_id=CAA24411.1;transl_table=11",4597,4.7,0.407,11294.840294840296,5.595708084462758,2018.4827593494292,NP_041981.1,2,gene 4.7,1,9,wildtype
14353,16467,"ID=cds28;Dbxref=GOA:P00581,InterPro:IPR001098,InterPro:IPR002298,InterPro:IPR012337,InterPro:IPR019760,PDB:1SKR,PDB:1SKS,PDB:1SKW,PDB:1SL0,PDB:1SL1,PDB:1SL2,PDB:1T7P,PDB:1T8E,PDB:1TK0,PDB:1TK5,PDB:1TK8,PDB:1TKD,PDB:1X9M,PDB:1X9S,PDB:1X9W,PDB:1ZYQ,PDB:2AJQ,UniProtKB/Swiss-Prot:P00581,NCBI_GP:CAA24412.1;Name=CAA24412.1;Note=gene 5%2C DNA polymerase;gbkey=CDS;product=CAA24412.1;protein_id=CAA24412.1;transl_table=11",46932,5,2.114,22200.567644276256,5.595708084462758,3967.4277694933985,NP_041982.1,2,gene 5,1,9,wildtype
16483,16839,"ID=cds29;Dbxref=UniProtKB/Swiss-Prot:P03798,NCBI_GP:CAA24413.1;Name=CAA24413.1;Note=gene 5.3;gbkey=CDS;product=CAA24413.1;protein_id=CAA24413.1;transl_table=11",12473,5.3,0.356,35036.51685393258,5.595708084462758,6261.319626593142,NP_041983.1,2,gene 5.3,1,9,wildtype
16851,17147,"ID=cds30;Dbxref=InterPro:IPR022611,UniProtKB/Swiss-Prot:P03787,NCBI_GP:CAA24415.1;Name=CAA24415.1;Note=possible gene 5.5-5.7;gbkey=CDS;product=CAA24415.1;protein_id=CAA24415.1;transl_table=11",6020,5.5-5.7,0.296,20337.83783783784,5.595708084462758,3634.5423190156407,NA,NA,NA,1,9,wildtype
17147,17359,"ID=cds30;Dbxref=InterPro:IPR022611,UniProtKB/Swiss-Prot:P03787,NCBI_GP:CAA24415.1;Name=CAA24415.1;Note=possible gene 5.5-5.7;gbkey=CDS;product=CAA24415.1;protein_id=CAA24415.1;transl_table=11",4869,5.5-5.7,0.212,22966.98113207547,5.595708084462758,4104.392292343914,NA,NA,NA,1,9,wildtype
16851,17150,"ID=cds31;Dbxref=InterPro:IPR022611,UniProtKB/Swiss-Prot:P03787,NCBI_GP:CAA24414.1;Name=CAA24414.1;Note=gene 5.5%2C permits growth on lambda lysogens [13] /binds host nucleoid protein H-NS [16];gbkey=CDS;product=CAA24414.1;protein_id=CAA24414.1;transl_table=11",6663,5.5,0.299,22284.280936454852,5.595708084462758,3982.3880374192822,NA,2,gene 5.5,1,9,wildtype
17150,17359,"ID=cds32;Dbxref=InterPro:IPR022611,UniProtKB/Swiss-Prot:P03787,NCBI_GP:CAA24416.1;Name=CAA24416.1;Note=gene 5.7;gbkey=CDS;product=CAA24416.1;protein_id=CAA24416.1;transl_table=11",4860,5.7,0.209,23253.58851674641,5.595708084462758,4155.611437507463,NA,2,gene 5.7,1,9,wildtype
17359,17517,"ID=cds33;Dbxref=UniProtKB/Swiss-Prot:P20406,NCBI_GP:CAA24417.1;Name=CAA24417.1;Note=gene 5.9%2C inhibits host recBCD nuclease [13];gbkey=CDS;product=CAA24417.1;protein_id=CAA24417.1;transl_table=11",3794,5.9,0.158,24012.6582278481,5.595708084462758,4291.263565825119,NP_041987.1,2,gene 5.9,1,9,wildtype
17504,18406,"ID=cds34;Dbxref=GOA:P00638,InterPro:IPR020046,UniProtKB/Swiss-Prot:P00638,NCBI_GP:CAA24418.1;Name=CAA24418.1;Note=gene 6%2C exonuclease;gbkey=CDS;product=CAA24418.1;protein_id=CAA24418.1;transl_table=11",20306,6,0.902,22512.19512195122,5.595708084462758,4023.1182152727697,NP_041988.1,2,gene 6,1,9,wildtype
18394,18507,"ID=cds35;Dbxref=UniProtKB/Swiss-Prot:P03799,NCBI_GP:CAA24419.1;Name=CAA24419.1;Note=gene 6.3;gbkey=CDS;product=CAA24419.1;protein_id=CAA24419.1;transl_table=11",3074,6.3,0.113,27203.53982300885,5.595708084462758,4861.500888250974,NA,2,gene 6.3,1,9,wildtype
18605,18859,"ID=cds36;Dbxref=InterPro:IPR020121,UniProtKB/Swiss-Prot:P03800,NCBI_GP:CAA24420.1;Name=CAA24420.1;Note=gene 6.5;gbkey=CDS;product=CAA24420.1;protein_id=CAA24420.1;transl_table=11",48685,6.5,0.254,191673.2283464567,5.595708084462758,34253.61463702215,NP_041990.1,3,gene 6.5,1,9,wildtype
18864,19130,"ID=cds37;Dbxref=InterPro:IPR020134,UniProtKB/Swiss-Prot:P03801,NCBI_GP:CAA24421.1;Name=CAA24421.1;Note=gene 6.7;gbkey=CDS;product=CAA24421.1;protein_id=CAA24421.1;transl_table=11",42764,6.7,0.266,160766.91729323307,5.595708084462758,28730.397452223107,NP_041991.1,3,gene 6.7,1,9,wildtype
19130,19531,"ID=cds38;Dbxref=UniProtKB/Swiss-Prot:P03750,NCBI_GP:CAA24422.1;Name=CAA24422.1;Note=gene 7%2C host range;gbkey=CDS;product=CAA24422.1;protein_id=CAA24422.1;transl_table=11",88768,7,0.401,221366.58354114712,5.595708084462758,39560.06642944821,NP_041992.1,3,gene 7,1,9,wildtype
19535,19834,"ID=cds39;Dbxref=UniProtKB/Swiss-Prot:P03751,NCBI_GP:CAA24423.1;Name=CAA24423.1;Note=gene 7.3%2C host range;gbkey=CDS;product=CAA24423.1;protein_id=CAA24423.1;transl_table=11",78795,7.3,0.299,263528.4280936455,5.595708084462758,47094.741919323475,NP_041993.1,3,gene 7.3,1,9,wildtype
19848,20240,"ID=cds40;Dbxref=InterPro:IPR003615,UniProtKB/Swiss-Prot:P03796,NCBI_GP:CAA24424.1;Name=CAA24424.1;Note=gene 7.7;gbkey=CDS;product=CAA24424.1;protein_id=CAA24424.1;transl_table=11",89143,7.7,0.392,227405.61224489796,5.595708084462758,40639.29154494683,NP_041994.1,3,gene 7.7,1,9,wildtype
20240,21850,"ID=cds41;Dbxref=GOA:P03728,InterPro:IPR020991,UniProtKB/Swiss-Prot:P03728,NCBI_GP:CAA24425.1;Name=CAA24425.1;Note=gene 8%2C head-tail connector protein;gbkey=CDS;product=CAA24425.1;protein_id=CAA24425.1;transl_table=11",306737,8,1.61,190519.8757763975,5.595708084462758,34047.50085255551,NP_041995.1,3,gene 8,1,9,wildtype
21950,22873,"ID=cds42;Dbxref=GOA:P03716,InterPro:IPR008768,UniProtKB/Swiss-Prot:P03716,NCBI_GP:CAA24426.1;Name=CAA24426.1;Note=gene 9%2C scaffolding protein;gbkey=CDS;product=CAA24426.1;protein_id=CAA24426.1;transl_table=11",243556,9,0.923,263874.3228602383,5.595708084462758,47156.55621724106,NP_041996.1,3,gene 9,1,9,wildtype
22967,23989,"ID=cds43;Dbxref=GOA:P19727,UniProtKB/Swiss-Prot:P19727,NCBI_GP:CAA24428.1;Name=CAA24428.1;Note=gene 10B%2C minor capsid protein [12];gbkey=CDS;product=CAA24428.1;protein_id=CAA24428.1;transl_table=11",675294,10B,1.022,660757.3385518591,5.595708084462758,118082.88219797268,NP_041997.1,3,gene 10B,1,9,wildtype
23989,24162,"ID=cds43;Dbxref=GOA:P19727,UniProtKB/Swiss-Prot:P19727,NCBI_GP:CAA24428.1;Name=CAA24428.1;Note=gene 10B%2C minor capsid protein [12];gbkey=CDS;product=CAA24428.1;protein_id=CAA24428.1;transl_table=11",99265,10B,0.173,573786.1271676301,5.595708084462758,102540.39676601878,NP_041997.1,3,gene 10B,1,9,wildtype
22967,24004,"ID=cds44;Dbxref=GOA:P19726,UniProtKB/Swiss-Prot:P19726,NCBI_GP:CAA24427.1;Name=CAA24427.1;Note=gene 10A%2C major capsid protein;gbkey=CDS;product=CAA24427.1;protein_id=CAA24427.1;transl_table=11",675641,10A,1.037,651534.2333654774,5.595708084462758,116434.63589077324,NP_041998.1,3,gene 10A,1,9,wildtype
24228,24818,"ID=cds45;Dbxref=UniProtKB/Swiss-Prot:P03746,NCBI_GP:CAA24429.1;Name=CAA24429.1;Note=gene 11%2C tail protein;gbkey=CDS;product=CAA24429.1;protein_id=CAA24429.1;transl_table=11",104553,11,0.59,177208.4745762712,5.595708084462758,31668.641734245313,NP_041999.1,3,gene 11,1,9,wildtype
24842,27226,"ID=cds46;Dbxref=UniProtKB/Swiss-Prot:P03747,NCBI_GP:CAA24430.1;Name=CAA24430.1;Note=gene 12%2C tail protein;gbkey=CDS;product=CAA24430.1;protein_id=CAA24430.1;transl_table=11",279735,12,2.384,117338.5067114094,5.595708084462758,20969.3759824991,NP_042000.1,3,gene 12,1,9,wildtype
27307,27723,"ID=cds47;Dbxref=InterPro:IPR020335,UniProtKB/Swiss-Prot:P03723,NCBI_GP:CAA24431.1;Name=CAA24431.1;Note=gene 13%2C internal virion protein;gbkey=CDS;product=CAA24431.1;protein_id=CAA24431.1;transl_table=11",31319,13,0.416,75286.0576923077,5.595708084462758,13454.250392608872,NP_042001.1,3,gene 13,1,9,wildtype
27728,28318,"ID=cds48;Dbxref=UniProtKB/Swiss-Prot:P03724,NCBI_GP:CAA24432.1;Name=CAA24432.1;Note=gene 14%2C internal virion protein;gbkey=CDS;product=CAA24432.1;protein_id=CAA24432.1;transl_table=11",84283,14,0.59,142852.54237288138,5.595708084462758,25528.948296915423,NP_042002.1,3,gene 14,1,9,wildtype
28325,30568,"ID=cds49;Dbxref=UniProtKB/Swiss-Prot:P03725,NCBI_GP:CAA24433.1;Name=CAA24433.1;Note=gene 15%2C internal virion protein;gbkey=CDS;product=CAA24433.1;protein_id=CAA24433.1;transl_table=11",278338,15,2.243,124091.84128399465,5.595708084462758,22176.25355199505,NP_042003.1,3,gene 15,1,9,wildtype
30595,34551,"ID=cds50;Dbxref=GOA:P03726,InterPro:IPR000189,InterPro:IPR008258,UniProtKB/Swiss-Prot:P03726,NCBI_GP:CAA24434.1;Name=CAA24434.1;Note=gene 16%2C internal virion protein;gbkey=CDS;product=CAA24434.1;protein_id=CAA24434.1;transl_table=11",426229,16,3.956,107742.41658240647,5.595708084462758,19254.474135555407,NP_042004.1,3,gene 16,1,9,wildtype
34624,36285,"ID=cds51;Dbxref=InterPro:IPR005604,InterPro:IPR022246,UniProtKB/Swiss-Prot:P03748,NCBI_GP:CAA24435.1;Name=CAA24435.1;Note=gene 17%2C tail fiber protein;gbkey=CDS;product=CAA24435.1;protein_id=CAA24435.1;transl_table=11",173049,17,1.661,104183.62432269717,5.595708084462758,18618.48808946577,NP_042005.1,3,gene 17,1,9,wildtype
36344,36547,"ID=cds52;Dbxref=GOA:P03802,InterPro:IPR019682,UniProtKB/Swiss-Prot:P03802,NCBI_GP:CAA24436.1;Name=CAA24436.1;Note=gene 17.5%2C lysis protein [17];gbkey=CDS;product=CAA24436.1;protein_id=CAA24436.1;transl_table=11",13169,17.5,0.203,64871.92118226601,5.595708084462758,11593.156791433008,NP_042006.1,3,gene 17.5,1,9,wildtype
36553,36822,"ID=cds53;Dbxref=GOA:P03693,UniProtKB/Swiss-Prot:P03693,NCBI_GP:CAA24437.1;Name=CAA24437.1;Note=gene 18%2C DNA maturation protein;gbkey=CDS;product=CAA24437.1;protein_id=CAA24437.1;transl_table=11",17331,18,0.269,64427.50929368029,5.595708084462758,11513.736656951782,NP_042007.1,3,gene 18,1,9,wildtype
36917,37348,"ID=cds54;Dbxref=GOA:P03803,InterPro:IPR004929,InterPro:IPR016417,UniProtKB/Swiss-Prot:P03803,NCBI_GP:CAA24438.1;Name=CAA24438.1;Note=gene 18.5%2C homologous to lambda Rz lysis protein [10];gbkey=CDS;product=CAA24438.1;protein_id=CAA24438.1;transl_table=11",34025,18.5,0.431,78944.31554524362,5.595708084462758,14108.011775032228,NP_042008.1,3,gene 18.5,1,9,wildtype
37032,37283,"ID=cds55;Dbxref=InterPro:IPR020130,UniProtKB/Swiss-Prot:P03788,NCBI_GP:CAA24439.1;Name=CAA24439.1;Note=gene 18.7;gbkey=CDS;product=CAA24439.1;protein_id=CAA24439.1;transl_table=11",18217,18.7,0.251,72577.68924302788,5.595708084462758,12970.24221913035,NP_042009.1,3,gene 18.7,1,9,wildtype
37370,39130,"ID=cds56;Dbxref=GOA:P03694,UniProtKB/Swiss-Prot:P03694,NCBI_GP:CAA24440.1;Name=CAA24440.1;Note=gene 19%2C DNA maturation protein;gbkey=CDS;product=CAA24440.1;protein_id=CAA24440.1;transl_table=11",107695,19,1.76,61190.34090909091,5.595708084462758,10935.227496765636,NP_042010.1,3,gene 19,1,9,wildtype
38016,38273,"ID=cds57;Dbxref=InterPro:IPR020148,UniProtKB/Swiss-Prot:P03789,NCBI_GP:CAA24441.1;Name=CAA24441.1;Note=gene 19.2;gbkey=CDS;product=CAA24441.1;protein_id=CAA24441.1;transl_table=11",25859,19.2,0.257,100618.67704280156,5.595708084462758,17981.40208960917,NA,3,gene 19.2,1,9,wildtype
38553,38726,"ID=cds58;Dbxref=UniProtKB/Swiss-Prot:P03790,NCBI_GP:CAA24442.1;Name=CAA24442.1;Note=gene 19.3;gbkey=CDS;product=CAA24442.1;protein_id=CAA24442.1;transl_table=11",13861,19.3,0.173,80121.387283237,5.595708084462758,14318.364373885923,NA,3,gene 19.3,1,9,wildtype
39389,39538,"ID=cds59;Dbxref=UniProtKB/Swiss-Prot:P03804,NCBI_GP:CAA24443.1;Name=CAA24443.1;Note=gene 19.5;gbkey=CDS;product=CAA24443.1;protein_id=CAA24443.1;transl_table=11",21041,19.5,0.149,141214.76510067115,5.595708084462758,25236.26375235211,NP_042013.1,3,gene 19.5,1,9,wildtype
925,1278,"ID=cds0;Parent=rna0;Dbxref=InterPro:IPR014798,PDB:1S7Z,UniProtKB/Swiss-Prot:P03775,NCBI_GP:CAA24384.1;Name=CAA24384.1;Note=gene 0.3%2C inhibits EcoB and EcoK host restriction;gbkey=CDS;product=CAA24384.1;protein_id=CAA24384.1;transl_table=11",2115,0.3,0.353,5991.501416430595,5.771679268958991,1038.0863414663115,NP_041954.1,1,gene 0.3,2,9,wildtype
1278,1433,"ID=cds1;Parent=rna0;Dbxref=UniProtKB/Swiss-Prot:P03776,NCBI_GP:CAA24385.1;Name=CAA24385.1;Note=gene 0.4;gbkey=CDS;product=CAA24385.1;protein_id=CAA24385.1;transl_table=11",0,0.4,0.155,0,5.771679268958991,0,NP_041955.1,1,gene 0.4,2,9,wildtype
1496,1639,"ID=cds2;Parent=rna1;Dbxref=UniProtKB/Swiss-Prot:P03777,NCBI_GP:CAA24386.1;Name=CAA24386.1;Note=gene 0.5;gbkey=CDS;product=CAA24386.1;protein_id=CAA24386.1;transl_table=11",0,0.5,0.143,0,5.771679268958991,0,NA,NA,NA,2,9,wildtype
1636,1797,"ID=cds3;Parent=rna1;Dbxref=UniProtKB/Swiss-Prot:P03778,NCBI_GP:CAA24387.1;Name=CAA24387.1;Note=gene 0.6A;gbkey=CDS;product=CAA24387.1;protein_id=CAA24387.1;transl_table=11",0,0.6A,0.161,0,5.771679268958991,0,NA,NA,NA,2,9,wildtype
2021,3100,"ID=cds4;Parent=rna1;Dbxref=GOA:P00513,InterPro:IPR014374,UniProtKB/Swiss-Prot:P00513,NCBI_GP:CAA24389.1;Name=CAA24389.1;Note=gene 0.7%2C protein kinase;gbkey=CDS;product=CAA24389.1;protein_id=CAA24389.1;transl_table=11",2919,0.7,1.079,2705.282669138091,5.771679268958991,468.71673616507616,NP_041959.1,1,protein_kinase-0.7,2,9,wildtype
1636,1794,"ID=cds5;Dbxref=UniProtKB/Swiss-Prot:P03778,NCBI_GP:CAA24388.1;Name=CAA24388.1;Note=possible gene 0.6B;gbkey=CDS;product=CAA24388.1;protein_id=CAA24388.1;transl_table=11",0,0.6B,0.158,0,5.771679268958991,0,NA,NA,NA,2,9,wildtype
