"Accession","gene","protein_desc","protein_id","location","rep","strain","time","area","total_area","n_area","tabasco_id","class","Ribosome","coli Pol","coli Pol-P","coli Pol-2.0","coli Pol-P-2.0","sim_count","sim_count2"
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-42",60,NA,3.16593e+11,NA,"gp19",3,9605.73,1715.69,0,0,0,0,0
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-42",300,1.54919e+07,3.61929e+11,4.28036e-05,"gp0.7",1,2.6,0,346.05,0,1258.27,5399.92,1566
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-42",300,8.94747e+07,3.61929e+11,0.000247216,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-42",300,5.9599e+06,3.61929e+11,1.6467e-05,"gp1.3",2,2.6,0,346.05,0,1258.27,2968.21,779.6
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-42",300,7.95999e+07,3.61929e+11,0.000219932,"gp1.6",2,2.6,0,346.05,0,1258.27,1005.03,248.38
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-42",300,NA,3.61929e+11,NA,"gp1.7",2,2.6,0,346.05,0,1258.27,1358.69,334.26
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-42",300,NA,3.61929e+11,NA,"gp1.8",2,2.6,0,346.05,0,1258.27,1371.97,334.07
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-42",300,5.83646e+08,3.61929e+11,0.0016126,"gp2.5",2,2.6,0,346.05,0,1258.27,1423.25,349.29
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-42",300,NA,3.61929e+11,NA,"gp2.8",2,2.6,0,346.05,0,1258.27,1378.66,337.1
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-42",300,NA,3.61929e+11,NA,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-42",300,6.34862e+07,3.61929e+11,0.000175411,"gp3.5",2,2.6,0,346.05,0,1258.27,14.69,8.79
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-42",300,1.88467e+07,3.61929e+11,5.20729e-05,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-42",300,NA,3.61929e+11,NA,"gp4.3",2,2.6,0,346.05,0,1258.27,1129.44,278.33
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-42",300,2.49389e+08,3.61929e+11,0.000689055,"gp4.5",2,2.6,0,346.05,0,1258.27,1276.09,314.06
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-42",300,2.21448e+08,3.61929e+11,0.000611856,"gp4.7",2,2.6,0,346.05,0,1258.27,1129.97,283.74
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-42",300,3.53385e+07,3.61929e+11,9.76392e-05,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-42",300,1.2117e+07,3.61929e+11,3.34789e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-42",300,NA,3.61929e+11,NA,"gp5.9",2,2.6,0,346.05,0,1258.27,865.69,214.81
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-42",300,NA,3.61929e+11,NA,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-42",300,1.16172e+06,3.61929e+11,3.2098e-06,"gp6.5",3,2.6,0,346.05,0,1258.27,827.94,222.37
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-42",300,NA,3.61929e+11,NA,"gp7",3,2.6,0,346.05,0,1258.27,706.76,191.4
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-42",300,NA,3.61929e+11,NA,"gp7.3",3,2.6,0,346.05,0,1258.27,690.5,184.44
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-42",300,1.21933e+07,3.61929e+11,3.36898e-05,"gp7.7",3,2.6,0,346.05,0,1258.27,627.14,169.49
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-42",300,4.32558e+07,3.61929e+11,0.000119515,"gp8",3,2.6,0,346.05,0,1258.27,235.98,64.6
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-42",300,4.26784e+07,3.61929e+11,0.000117919,"gp9",3,2.6,0,346.05,0,1258.27,312.82,90.82
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-42",300,2.6613e+08,3.61929e+11,0.00073531,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-42",300,2.6613e+08,3.61929e+11,0.00073531,"gp10A",3,2.6,0,346.05,0,1258.27,226.94,70.97
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-42",300,NA,3.61929e+11,NA,"gp11",3,2.6,0,346.05,0,1258.27,50.71,15.25
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-42",300,NA,3.61929e+11,NA,"gp12",3,2.6,0,346.05,0,1258.27,0.49,0.1
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-42",300,NA,3.61929e+11,NA,"gp13",3,2.6,0,346.05,0,1258.27,53.62,16.05
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-42",300,NA,3.61929e+11,NA,"gp14",3,2.6,0,346.05,0,1258.27,38.05,11.5
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-42",300,7.16379e+07,3.61929e+11,0.000197934,"gp15",3,2.6,0,346.05,0,1258.27,0,0
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-42",300,9.76202e+06,3.61929e+11,2.69722e-05,"gp16",3,2.6,0,346.05,0,1258.27,0,0
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-42",300,NA,3.61929e+11,NA,"gp17",3,2.6,0,346.05,0,1258.27,0,0
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-42",300,NA,3.61929e+11,NA,"gp17.5",3,2.6,0,346.05,0,1258.27,0.19,0.03
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-42",300,NA,3.61929e+11,NA,"gp18",3,2.6,0,346.05,0,1258.27,0.06,0.02
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-42",300,NA,3.61929e+11,NA,"gp19",3,2.6,0,346.05,0,1258.27,0,0
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-42",540,2.53481e+07,3.87767e+11,6.53693e-05,"gp0.7",1,0.56,0,14.66,0,1660.33,8261.18,2202.54
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-42",540,8.11164e+07,3.87767e+11,0.000209189,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-42",540,5.05307e+08,3.87767e+11,0.00130312,"gp1.3",2,0.56,0,14.66,0,1660.33,6310.94,1537.98
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-42",540,3.39152e+08,3.87767e+11,0.000874629,"gp1.6",2,0.56,0,14.66,0,1660.33,2579.25,628.23
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-42",540,3.89459e+08,3.87767e+11,0.00100436,"gp1.7",2,0.56,0,14.66,0,1660.33,3458.82,852.97
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-42",540,3.7426e+07,3.87767e+11,9.65167e-05,"gp1.8",2,0.56,0,14.66,0,1660.33,3396.92,832.56
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-42",540,2.86505e+09,3.87767e+11,0.00738857,"gp2.5",2,0.56,0,14.66,0,1660.33,3875.83,961.65
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-42",540,NA,3.87767e+11,NA,"gp2.8",2,0.56,0,14.66,0,1660.33,3774.68,937.38
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-42",540,1.6337e+08,3.87767e+11,0.000421311,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-42",540,8.79072e+08,3.87767e+11,0.00226701,"gp3.5",2,0.56,0,14.66,0,1660.33,33.16,21.18
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-42",540,3.79999e+07,3.87767e+11,9.79966e-05,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-42",540,NA,3.87767e+11,NA,"gp4.3",2,0.56,0,14.66,0,1660.33,4147.87,1019.55
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-42",540,4.4344e+08,3.87767e+11,0.00114357,"gp4.5",2,0.56,0,14.66,0,1660.33,4633.99,1145.38
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-42",540,7.71417e+08,3.87767e+11,0.00198938,"gp4.7",2,0.56,0,14.66,0,1660.33,4447.2,1113.83
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-42",540,2.24453e+08,3.87767e+11,0.000578835,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-42",540,2.64056e+08,3.87767e+11,0.000680964,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-42",540,6.41565e+07,3.87767e+11,0.000165451,"gp5.9",2,0.56,0,14.66,0,1660.33,4373.11,1080.15
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-42",540,2.0611e+08,3.87767e+11,0.000531529,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-42",540,9.32645e+07,3.87767e+11,0.000240517,"gp6.5",3,0.56,0,14.66,0,1660.33,4913.94,1264.55
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-42",540,1.3882e+08,3.87767e+11,0.000358,"gp7",3,0.56,0,14.66,0,1660.33,4724.69,1221.02
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-42",540,7.62693e+07,3.87767e+11,0.000196688,"gp7.3",3,0.56,0,14.66,0,1660.33,4661.15,1198.56
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-42",540,1.26234e+08,3.87767e+11,0.00032554,"gp7.7",3,0.56,0,14.66,0,1660.33,4562.71,1179.87
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-42",540,5.85484e+08,3.87767e+11,0.00150988,"gp8",3,0.56,0,14.66,0,1660.33,4023,1041.75
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-42",540,1.41168e+09,3.87767e+11,0.00364053,"gp9",3,0.56,0,14.66,0,1660.33,4437.61,1160.68
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-42",540,3.74692e+09,3.87767e+11,0.00966281,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-42",540,3.74692e+09,3.87767e+11,0.00966281,"gp10A",3,0.56,0,14.66,0,1660.33,4654.82,1250.77
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-42",540,2.81273e+07,3.87767e+11,7.25366e-05,"gp11",3,0.56,0,14.66,0,1660.33,905.32,245.27
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-42",540,5.45221e+07,3.87767e+11,0.000140605,"gp12",3,0.56,0,14.66,0,1660.33,726.93,195.4
"NP_042001.1 ","[gene=T7p48","internal virion protein A","NP_042001.1","27307..27723]",1,"11-42",540,4.89643e+07,3.87767e+11,0.000126272,"gp13",3,0.56,0,14.66,0,1660.33,1424.87,392.97
"NP_042002.1 ","[gene=T7p49","internal virion protein B","NP_042002.1","27728..28318]",1,"11-42",540,NA,3.87767e+11,NA,"gp14",3,0.56,0,14.66,0,1660.33,1367.69,376.53
"NP_042003.1 ","[gene=T7p50","internal virion protein C","NP_042003.1","28325..30568]",1,"11-42",540,9.79342e+07,3.87767e+11,0.000252559,"gp15",3,0.56,0,14.66,0,1660.33,1099.61,305.36
"NP_042004.1 ","[gene=T7p51","internal virion protein D","NP_042004.1","30595..34551]",1,"11-42",540,1.43013e+08,3.87767e+11,0.000368811,"gp16",3,0.56,0,14.66,0,1660.33,742.61,206.9
"NP_042005.1 ","[gene=T7p52","tail fiber protein","NP_042005.1","34624..36285]",1,"11-42",540,2.0404e+08,3.87767e+11,0.000526193,"gp17",3,0.56,0,14.66,0,1660.33,1161.14,318.87
"NP_042006.1 ","[gene=T7p53","type II holin","NP_042006.1","36344..36547]",1,"11-42",540,NA,3.87767e+11,NA,"gp17.5",3,0.56,0,14.66,0,1660.33,1305.62,356.68
"NP_042007.1 ","[gene=T7p54","DNA packaging protein, small subunit","NP_042007.1","36553..36822]",1,"11-42",540,4.63422e+07,3.87767e+11,0.00011951,"gp18",3,0.56,0,14.66,0,1660.33,1282.42,350.04
"NP_042010.1 ","[gene=T7p57","DNA maturation protein","NP_042010.1","37370..39130]",1,"11-42",540,1.17972e+07,3.87767e+11,3.04234e-05,"gp19",3,0.56,0,14.66,0,1660.33,985.48,266.17
"NP_041959.1 ","[gene=T7p03","protein kinase","NP_041959.1","2021..3100]",1,"11-44",60,NA,4.10907e+11,NA,"gp0.7",1,9605.73,1715.69,0,0,0,0,0
"NP_041960.1 ","[gene=T7p07","T3/T7-like RNA polymerase","NP_041960.1","3171..5822]",1,"11-44",60,NA,4.10907e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041963.1 ","[gene=T7p10","ATP-dependent DNA ligase","NP_041963.1","6475..7554]",1,"11-44",60,NA,4.10907e+11,NA,"gp1.3",2,9605.73,1715.69,0,0,0,0,0
"NP_041966.1 ","[gene=T7p13","hypothetical protein","NP_041966.1","7906..8166]",1,"11-44",60,NA,4.10907e+11,NA,"gp1.6",2,9605.73,1715.69,0,0,0,0,0
"NP_041967.1 ","[gene=T7p14","hypothetical protein","NP_041967.1","8166..8756]",1,"11-44",60,NA,4.10907e+11,NA,"gp1.7",2,9605.73,1715.69,0,0,0,0,0
"NP_041968.1 ","[gene=T7p15","hypothetical protein","NP_041968.1","8749..8895]",1,"11-44",60,NA,4.10907e+11,NA,"gp1.8",2,9605.73,1715.69,0,0,0,0,0
"NP_041970.1 ","[gene=T7p17","single-stranded DNA-binding protein","NP_041970.1","9158..9856]",1,"11-44",60,NA,4.10907e+11,NA,"gp2.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041971.1 ","[gene=T7p18","hypothetical protein","NP_041971.1","9857..10276]",1,"11-44",60,NA,4.10907e+11,NA,"gp2.8",2,9605.73,1715.69,0,0,0,0,0
"NP_041972.1 ","[gene=T7p19","endonuclease I","NP_041972.1","10257..10706]",1,"11-44",60,NA,4.10907e+11,NA,"gp3",2,NA,NA,NA,NA,NA,NA,NA
"NP_041973.1 ","[gene=T7p20","lysozyme","NP_041973.1","10706..11161]",1,"11-44",60,NA,4.10907e+11,NA,"gp3.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041977.1 ","[gene=T7p24","helicase","NP_041977.1","11754..13265]",1,"11-44",60,NA,4.10907e+11,NA,"gp4",2,NA,NA,NA,NA,NA,NA,NA
"NP_041979.1 ","[gene=T7p26","hypothetical protein","NP_041979.1","13352..13564]",1,"11-44",60,NA,4.10907e+11,NA,"gp4.3",2,9605.73,1715.69,0,0,0,0,0
"NP_041980.1 ","[gene=T7p27","hypothetical protein","NP_041980.1","13584..13853]",1,"11-44",60,NA,4.10907e+11,NA,"gp4.5",2,9605.73,1715.69,0,0,0,0,0
"NP_041981.1 ","[gene=T7p28","hypothetical protein","NP_041981.1","13927..14334]",1,"11-44",60,NA,4.10907e+11,NA,"gp4.7",2,9605.73,1715.69,0,0,0,0,0
"NP_041982.1 ","[gene=T7p29","DNA polymerase","NP_041982.1","14353..16467]",1,"11-44",60,NA,4.10907e+11,NA,"gp5",2,NA,NA,NA,NA,NA,NA,NA
"NP_041984.1 ","[gene=T7p31","hypothetical protein","NP_041984.1","join(16851..17147,17147..17359)]",1,"11-44",60,NA,4.10907e+11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NP_041987.1 ","[gene=T7p34","host recBCD nuclease inhibitor","NP_041987.1","17359..17517]",1,"11-44",60,NA,4.10907e+11,NA,"gp5.9",2,9605.73,1715.69,0,0,0,0,0
"NP_041988.1 ","[gene=T7p35","exonuclease","NP_041988.1","17504..18406]",1,"11-44",60,NA,4.10907e+11,NA,"gp6",2,NA,NA,NA,NA,NA,NA,NA
"NP_041990.1 ","[gene=T7p37","hypothetical protein","NP_041990.1","18605..18859]",1,"11-44",60,NA,4.10907e+11,NA,"gp6.5",3,9605.73,1715.69,0,0,0,0,0
"NP_041992.1 ","[gene=T7p39","hypothetical protein","NP_041992.1","19130..19531]",1,"11-44",60,NA,4.10907e+11,NA,"gp7",3,9605.73,1715.69,0,0,0,0,0
"NP_041993.1 ","[gene=T7p40","tail assembly protein","NP_041993.1","19535..19834]",1,"11-44",60,NA,4.10907e+11,NA,"gp7.3",3,9605.73,1715.69,0,0,0,0,0
"NP_041994.1 ","[gene=T7p41","hypothetical protein","NP_041994.1","19848..20240]",1,"11-44",60,NA,4.10907e+11,NA,"gp7.7",3,9605.73,1715.69,0,0,0,0,0
"NP_041995.1 ","[gene=T7p42","head-tail connector protein","NP_041995.1","20240..21850]",1,"11-44",60,NA,4.10907e+11,NA,"gp8",3,9605.73,1715.69,0,0,0,0,0
"NP_041996.1 ","[gene=T7p43","capsid assembly protein","NP_041996.1","21950..22873]",1,"11-44",60,NA,4.10907e+11,NA,"gp9",3,9605.73,1715.69,0,0,0,0,0
"NP_041997.1 ","[gene=T7p44","major capsid protein","NP_041997.1","join(22967..23989,23989..24162)]",1,"11-44",60,1.47973e+08,4.10907e+11,0.000360114,"gp10B",3,NA,NA,NA,NA,NA,NA,NA
"NP_041998.1 ","[gene=T7p45","major capsid protein","NP_041998.1","22967..24004]",1,"11-44",60,1.47973e+08,4.10907e+11,0.000360114,"gp10A",3,9605.73,1715.69,0,0,0,0,0
"NP_041999.1 ","[gene=T7p46","tail tubular protein A","NP_041999.1","24228..24818]",1,"11-44",60,NA,4.10907e+11,NA,"gp11",3,9605.73,1715.69,0,0,0,0,0
"NP_042000.1 ","[gene=T7p47","tail tubular protein B","NP_042000.1","24842..27226]",1,"11-44",60,NA,4.10907e+11,NA,"gp12",3,9605.73,1715.69,0,0,0,0,0
